eps_iter,acc
0.09,0.0293
0.095,0.0298
0.1,0.0301
0.10500000000000001,0.031
0.11000000000000001,0.0318
0.11500000000000002,0.0325
0.12000000000000002,0.0345
0.12500000000000003,0.0348
0.13000000000000003,0.0368
0.13500000000000004,0.0395
0.14000000000000004,0.0412
0.14500000000000005,0.0432
0.15000000000000005,0.0454
0.15500000000000005,0.0474
0.16000000000000006,0.0488
0.16500000000000006,0.0476
0.17000000000000007,0.0524
0.17500000000000007,0.0551
0.18000000000000008,0.0556
0.18500000000000008,0.0603
